STT,ThuongHieu_TenSP,Anh_Main,Anh_Card,URL
"001","Afnan 9 AM Dive","001-9am-dive-main.jpg","N/A","https://www.maisondeson.com/nuoc-hoa-unisex-afnan-9am-dive"
"002","Afnan 9 PM","002-9pm-main.jpg","nuoc-hoa-afnan-9-pm-chai-nuoc-hoa-5.jpg","https://www.maisondeson.com/nuoc-hoa-nam-afnan-9pm"
"003","Maison Alhambra Avant","003-avant-main.jpg","N/A","https://www.maisondeson.com/nuoc-hoa-nam-maison-alhambra-avant"
"004","Club de Nuit Intense Man","004-cdnim-main.jpg","nuoc-hoa-armaf-club-de-nuit-intense-man-chai-nuoc-hoa-5.jpg","https://www.maisondeson.com/nuoc-hoa-nam-club-de-nuit-cdnim"
"005","Club de Nuit Untold","005-club-de-nuit-untold-main.jpg","nuoc-hoa-armaf-club-de-nuit-untold-chai-nuoc-hoa-5.jpg","https://www.maisondeson.com/nuoc-hoa-unisex-club-de-nuit-club-de-nuit-untold"
"006","Al Ambra Dubai Musk","006-dubai-musk-main.webp","N/A","https://www.maisondeson.com/nuoc-hoa-nam-al-ambra-dubai-musk"
"007","Afnan Supremacy In Heaven","007-in-heaven-main.jpg","nuoc-hoa-afnan-supremacy-in-heaven-chai-nuoc-hoa-5.jpg","https://www.maisondeson.com/nuoc-hoa-nam-afnan-in-heaven"
"008","Afnan Supremacy Not Only Intense","008-not-only-intense-main.jpg","nuoc-hoa-afnan-supremacy-not-only-intense-chai-nuoc-hoa-5.jpg","https://www.maisondeson.com/nuoc-hoa-nam-afnan-not-only-intense"
"009","Giorgio Armani Acqua di Gio EDP","012-acquadigio-edp-main.jpg","nuoc-hoa-giorgio-armani-acqua-di-gio-edp-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nam-giorgio-armani-acquadigio-edp"
"010","Giorgio Armani Acqua di Gio Parfum","013-acquadigio-parfum-main.webp","nuoc-hoa-giorgio-armani-acqua-di-gio-parfum-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nam-giorgio-armani-acquadigio-parfum"
"011","Bvlgari Aqva Pour Homme","014-aqva-pour-homme-main.jpg","nuoc-hoa-bvlgari-aqva-pour-homme-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nam-bvlgari-aqva-pour-homme"
"012","Bvlgari Aqva Pour Homme Marine","015-aqva-pour-homme-marine-main.jpg","N/A","https://www.maisondeson.com/nuoc-hoa-nam-bvlgari-aqva-pour-homme-marine"
"013","Xerjoff Casamorati Casamorati Lira","016-casamorati-lira-main.jpg","nuoc-hoa-xerjoff-casamorati-lira-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nu-xerjoff-casamorati-casamorati-lira"
"014","Roja Dove Isola Blu","017-isola-blu-main.jpg","N/A","https://www.maisondeson.com/nuoc-hoa-unisex-roja-dove-isola-blu"
"015","Lancome La Nuit Tresor","022-lancome-la-nuit-tresor-main.jpg","nuoc-hoa-lancome-la-nuit-tresor-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nu-lancome-lancome-la-nuit-tresor"
"016","Kitten Meow","023-meow-main.webp","N/A","https://www.maisondeson.com/nuoc-hoa-nu-kitten-meow"
"017","Bvlgari Omnia Amethyste","024-omnia-amethyste-main.jpg","nuoc-hoa-bvlgari-omnia-amethyste-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-nu-bvlgari-omnia-amethyste"
"018","Parfums de Marly Oajan","025-pdm-oajan-main.jpg","nuoc-hoa-parfums-de-marly-oajan-chai-nuoc-hoa-5.webp","https://www.maisondeson.com/nuoc-hoa-unisex-parfums-de-marly-pdm-oajan"
