batch,num,brand,name,url,idGuess,existingId,status
M01,1,"Creed","Aventus","/perfume/Creed/Aventus-9828.html","creed-aventus","creed-aventus",OK_EXISTING
M01,2,"Dior","Dior Homme Intense","/perfume/Dior/Dior-Homme-Intense-2011-13016.html","dior-dior-homme-intense","dior-homme-intense",OK_EXISTING
M01,3,"Hermes","Terre d Hermes","/perfume/Hermes/Terre-d-Hermes-17.html","hermes-terre-d-hermes","",NEW_WRITE
M01,4,"Chanel","Bleu de Chanel Eau de Parfum","/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html","chanel-bleu-de-chanel-eau-de-parfum","bleu-de-chanel-parfum",OK_EXISTING
M01,5,"Yves Saint Laurent","La Nuit de l Homme","/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html","yves-saint-laurent-la-nuit-de-l-homme","",NEW_WRITE
M01,6,"Xerjoff","XJ 1861 Naxos","/perfume/Xerjoff/XJ-1861-Naxos-30529.html","xerjoff-xj-1861-naxos","xerjoff-erba-pura",OK_EXISTING
M01,7,"Louis Vuitton","Imagination","/perfume/Louis-Vuitton/Imagination-67370.html","louis-vuitton-imagination","louis-vuitton-imagination",OK_EXISTING
M01,8,"Dior","Dior Homme Parfum","/perfume/Dior/Dior-Homme-Parfum-27417.html","dior-dior-homme-parfum","dior-homme-intense",OK_EXISTING
M01,9,"Parfums de Marly","Layton","/perfume/Parfums-de-Marly/Layton-39314.html","parfums-de-marly-layton","parfums-de-marly-delina",OK_EXISTING
M01,10,"Jean Paul Gaultier","Le Male Le Parfum","/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html","jean-paul-gaultier-le-male-le-parfum","",NEW_WRITE
M01,11,"Amouage","Reflection Man","/perfume/Amouage/Reflection-Man-920.html","amouage-reflection-man","amouage-reflection-man",OK_EXISTING
M01,12,"Giorgio Armani","Acqua di Gio Profumo","/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html","giorgio-armani-acqua-di-gio-profumo","acqua-di-gio-profondo",OK_EXISTING
M01,13,"Prada","Prada L Homme","/perfume/Prada/Prada-L-Homme-39029.html","prada-prada-l-homme","",NEW_WRITE
M01,14,"Dior","Sauvage Elixir","/perfume/Dior/Sauvage-Elixir-68415.html","dior-sauvage-elixir","sauvage-elixir",OK_EXISTING
