Keyword,Currency,Avg. monthly searches,Thay ??i trong ba tháng,Thay ??i so v?i cùng k? n?m tr??c,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
n??c hoa vi?t nam,VND,590,0%,23%,Cao,100,247,6943,,,,,,480,590,590,480,590,590,480,590,480,590,590,590
n??c hoa n?,VND,14800,0%,0%,Trung bình,62,1090,5767,,,,,,14800,22200,22200,14800,12100,12100,14800,14800,12100,14800,14800,14800
n??c hoa hàng hi?u,VND,210,-19%,-34%,Cao,100,898,5644,,,,,,210,320,210,170,210,210,210,260,170,260,210,210
n??c hoa nam,VND,27100,22%,-18%,Cao,81,986,4459,,,,,,33100,40500,33100,22200,27100,22200,27100,27100,22200,22200,27100,27100
le labo 13,VND,8100,0%,-33%,Cao,100,220,1679,,,,,,9900,9900,8100,6600,6600,6600,8100,8100,6600,8100,8100,8100
le labo 33,VND,2400,0%,-45%,Cao,100,184,1679,,,,,,3600,2900,2900,2400,2400,1900,2400,2400,2400,2400,2400,2400
n??c hoa dior,VND,22200,0%,0%,Cao,69,411,1723,,,,,,18100,22200,27100,22200,22200,22200,18100,18100,14800,18100,18100,18100
n??c hoa gucci,VND,6600,-19%,-33%,Cao,100,492,2111,,,,,,8100,8100,8100,5400,6600,5400,6600,8100,6600,8100,6600,6600
n??c hoa kích thích n?,VND,140,-18%,-47%,Cao,100,3511,7816,,,,,,140,210,140,140,90,140,260,110,140,110,110,90
n??c hoa le labo 13,VND,2900,-17%,-56%,Cao,100,215,1510,,,,,,3600,3600,3600,2400,2400,1900,2900,2900,2400,2900,2900,2400
n??c hoa n? chính hãng,VND,5400,83%,175%,Th?p,5,1163,4132,,,,,,3600,4400,4400,4400,4400,6600,5400,5400,4400,3600,6600,6600
n??c hoa chanel coco,VND,1300,-23%,-47%,Cao,100,453,7609,,,,,,1300,1600,1600,1000,1000,880,1000,1300,1300,1300,1000,1000
n??c hoa chanel n?,VND,2400,0%,-33%,Cao,100,423,4888,,,,,,2400,2900,2900,1900,1900,1600,1900,1900,1900,2400,1900,2400
foellie,VND,2400,-23%,-47%,Cao,87,141,3233,,,,,,1600,1900,2400,1900,1900,6600,5400,2900,1900,1300,1300,1000
n??c hoa club de nuit,VND,2900,-19%,-19%,Cao,100,902,2519,,,,,,2900,3600,3600,2400,1900,1900,2400,2900,2400,3600,2900,2900
n??c hoa dior n?,VND,1900,-33%,-33%,Cao,100,424,2194,,,,,,1900,2400,2400,1600,1600,1600,1900,1900,1900,2400,1600,1600
n??c hoa ysl n?,VND,3600,0%,0%,Cao,100,275,1435,,,,,,3600,4400,4400,2900,2900,2900,2900,3600,3600,4400,4400,4400
n??c hoa le labo,VND,8100,83%,83%,Th?p,17,175,1224,,,,,,8100,8100,12100,8100,8100,9900,8100,8100,6600,6600,9900,12100
n??c hoa burberry n?,VND,1600,-16%,-16%,Cao,100,301,2210,,,,,,1600,2400,2400,1600,1600,1600,1600,1600,1600,1900,1900,1600
n??c hoa charme n?,VND,5400,-46%,-19%,Th?p,13,694,1290,,,,,,1300,2900,3600,9900,5400,8100,6600,1900,8100,8100,320,4400
n??c hoa gucci bloom,VND,1900,-34%,-21%,Cao,100,568,2120,,,,,,1900,2900,2400,1600,1600,1600,1900,1900,1900,2900,1900,1900
n??c hoa versace n?,VND,1900,-16%,-45%,Cao,100,647,2756,,,,,,1900,2400,2400,1900,1900,1600,1600,1600,1600,1900,1600,1600
n??c hoa charme nam,VND,5400,-46%,-19%,Th?p,17,694,1291,,,,,,1300,2900,2900,9900,5400,8100,6600,2400,8100,8100,390,4400
n??c hoa another 13,VND,880,0%,-32%,Cao,100,327,1831,,,,,,1000,1000,1000,720,720,720,880,880,720,880,880,880
n??c hoa le labo 33,VND,880,0%,-55%,Cao,100,199,1307,,,,,,1300,1600,1300,880,720,720,590,720,720,720,720,720
n??c hoa nam versace,VND,880,0%,-28%,Cao,100,665,3092,,,,,,1000,1300,1000,720,720,720,720,720,590,720,720,720
n??c hoa bleu chanel nam,VND,590,0%,-45%,Cao,100,591,2903,,,,,,1300,1000,480,390,480,590,260,390,390,720,720,720
n??c hoa hugo boss,VND,590,22%,-18%,Cao,100,316,2197,,,,,,880,720,720,480,390,390,480,590,590,590,590,720
n??c hoa cho n?,VND,480,-33%,-19%,Cao,100,526,2608,,,,,,480,720,590,390,390,390,390,390,390,720,480,480
nuoc hoa nu,VND,590,-19%,-33%,Cao,100,981,6815,,,,,,720,720,720,480,590,480,480,480,480,590,480,480
n??c hoa n? th?m lâu,VND,480,23%,-33%,Cao,100,174,1815,,,,,,590,720,720,390,480,390,590,480,590,480,390,590
n??c hoa n? cao c?p,VND,1000,-23%,-23%,Cao,100,932,4137,,,,,,880,1600,1600,880,880,880,1000,1000,880,1300,720,1000
n??c hoa vi?t h??ng,VND,140,-67%,-59%,Cao,95,328,2092,,,,,,140,210,140,110,110,110,110,210,140,210,140,70
n??c hoa hermes n?,VND,1000,-23%,-58%,Cao,100,375,3015,,,,,,1600,1600,1600,880,880,880,880,880,880,1300,1000,1000
